num,id,concept,property
222,13,A_LETTER,America
223,13,A_LETTER,Amelia
224,13,A_LETTER,Alisa
225,13,A_LETTER,at
226,13,A_LETTER,a
227,13,A_LETTER,applesauce
228,13,A_LETTER,accronym
229,13,A_LETTER,asset
230,13,A_LETTER,ass
231,13,A_LETTER,astrange
232,13,A_LETTER,animal
233,14,A_LETTER,Arkansas
234,14,A_LETTER,ass
235,14,A_LETTER,and
236,14,A_LETTER,apple
237,14,A_LETTER,all
238,14,A_LETTER,aim
239,14,A_LETTER,air
240,14,A_LETTER,aspire
241,14,A_LETTER,airplane
242,14,A_LETTER,almond
243,14,A_LETTER,arangatan
244,14,A_LETTER,after
245,14,A_LETTER,afternoon
246,14,A_LETTER,altitude
247,14,A_LETTER,amplitude
248,14,A_LETTER,ask
249,14,A_LETTER,archive
250,14,A_LETTER,ardichoke
251,14,A_LETTER,ancestor
252,14,A_LETTER,applesauce
253,14,A_LETTER,alias
254,14,A_LETTER,ark
255,14,A_LETTER,able
256,14,A_LETTER,ample
257,15,A_LETTER,And
258,15,A_LETTER,amiable
259,15,A_LETTER,animosity
260,15,A_LETTER,amber
261,15,A_LETTER,around
262,15,A_LETTER,amplitude
263,15,A_LETTER,ant
264,15,A_LETTER,anti
265,15,A_LETTER,arrogant
266,15,A_LETTER,ambrosia
267,15,A_LETTER,antler
268,15,A_LETTER,ankle
269,15,A_LETTER,arm
270,15,A_LETTER,aramadillo
271,15,A_LETTER,African
272,15,A_LETTER,Africa
273,15,A_LETTER,ambiguous
274,15,A_LETTER,articulate
275,15,A_LETTER,art
276,15,A_LETTER,ate
277,16,A_LETTER,Apple
278,16,A_LETTER,angel
279,16,A_LETTER,apricote
280,16,A_LETTER,aeroplane
281,16,A_LETTER,aim
282,16,A_LETTER,army
283,16,A_LETTER,arm
284,16,A_LETTER,arrest
285,16,A_LETTER,attend
286,16,A_LETTER,alternative
287,16,A_LETTER,average
288,16,A_LETTER,Arabic
289,16,A_LETTER,air
290,16,A_LETTER,any
291,16,A_LETTER,as
292,16,A_LETTER,at
293,16,A_LETTER,alter
294,17,A_LETTER,Art
295,17,A_LETTER,ant
296,17,A_LETTER,action
297,17,A_LETTER,arm
298,17,A_LETTER,acorn
299,17,A_LETTER,act
300,17,A_LETTER,action
301,17,A_LETTER,actor
302,17,A_LETTER,actress
303,17,A_LETTER,army
304,17,A_LETTER,ambulence
305,17,A_LETTER,amusement
306,17,A_LETTER,appealing
307,17,A_LETTER,attractive
308,17,A_LETTER,anxious
309,17,A_LETTER,anxiety
310,17,A_LETTER,ability
311,18,A_LETTER,Apple
312,18,A_LETTER,angle
313,18,A_LETTER,aid
314,18,A_LETTER,a
315,18,A_LETTER,answer
316,18,A_LETTER,adhere
317,18,A_LETTER,ad
318,18,A_LETTER,at
319,18,A_LETTER,application
320,18,A_LETTER,advocate
321,18,A_LETTER,always
322,18,A_LETTER,abolish
323,18,A_LETTER,admirable
324,18,A_LETTER,admire
325,18,A_LETTER,adam
326,18,A_LETTER,anne
327,18,A_LETTER,angela
328,19,A_LETTER,Apple
329,19,A_LETTER,anagram
330,19,A_LETTER,ab
331,19,A_LETTER,abs
332,19,A_LETTER,act
333,19,A_LETTER,acting
334,19,A_LETTER,acts
335,19,A_LETTER,acted
336,19,A_LETTER,accumulate
337,19,A_LETTER,accumulated
338,19,A_LETTER,accumulates
339,19,A_LETTER,add
340,19,A_LETTER,addition
341,19,A_LETTER,adds
342,19,A_LETTER,added
343,19,A_LETTER,adding
344,19,A_LETTER,aerial
345,19,A_LETTER,air
346,19,A_LETTER,afro
347,19,A_LETTER,africa
348,20,A_LETTER,Acrobat
349,20,A_LETTER,apple
350,20,A_LETTER,alphabet
351,20,A_LETTER,April
352,20,A_LETTER,animals
353,20,A_LETTER,all
354,20,A_LETTER,accomodation
355,20,A_LETTER,assimilate
356,20,A_LETTER,aroma
357,20,A_LETTER,associate
358,20,A_LETTER,around
359,20,A_LETTER,amplify
360,20,A_LETTER,alpha
361,21,A_LETTER,Able
362,21,A_LETTER,awesome
363,21,A_LETTER,athletic
364,21,A_LETTER,ate
365,21,A_LETTER,arch
366,21,A_LETTER,angel
367,21,A_LETTER,afro
368,21,A_LETTER,astronomical
369,21,A_LETTER,apple
370,21,A_LETTER,ape
371,21,A_LETTER,ant
372,21,A_LETTER,artistic
373,21,A_LETTER,are
374,21,A_LETTER,anticipate
375,21,A_LETTER,article
376,21,A_LETTER,actual
377,21,A_LETTER,albeit
378,22,A_LETTER,Absorb
379,22,A_LETTER,America
380,22,A_LETTER,appreciate
381,22,A_LETTER,abnormal
382,22,A_LETTER,adequate
383,22,A_LETTER,adjacent
384,22,A_LETTER,amazing
385,22,A_LETTER,advertisement
386,22,A_LETTER,adjective
387,22,A_LETTER,adverb
388,22,A_LETTER,able
389,22,A_LETTER,ability
390,22,A_LETTER,anchor
391,23,A_LETTER,Ankle
392,23,A_LETTER,awesome
393,23,A_LETTER,apple
394,23,A_LETTER,automobile
395,23,A_LETTER,anagram
396,23,A_LETTER,advice
397,23,A_LETTER,assign
398,23,A_LETTER,active
399,23,A_LETTER,archery
400,23,A_LETTER,archive
401,23,A_LETTER,and
402,23,A_LETTER,ant
403,23,A_LETTER,aunt
404,23,A_LETTER,August
405,23,A_LETTER,April
406,23,A_LETTER,artery
407,23,A_LETTER,aorta
408,23,A_LETTER,awful
409,23,A_LETTER,around
410,24,A_LETTER,Apple
411,24,A_LETTER,apricot
412,24,A_LETTER,always
413,24,A_LETTER,astounding
414,24,A_LETTER,amazing
415,24,A_LETTER,astonish
416,24,A_LETTER,astronaut
417,24,A_LETTER,astrology
418,24,A_LETTER,able
419,24,A_LETTER,almost
420,24,A_LETTER,alright
421,24,A_LETTER,available
422,24,A_LETTER,apprehensive
423,24,A_LETTER,aloof
424,24,A_LETTER,appreciate
425,24,A_LETTER,atypical
426,24,A_LETTER,arm
427,24,A_LETTER,antisocial
428,24,A_LETTER,announce
429,24,A_LETTER,articulate
430,24,A_LETTER,anticipate
431,24,A_LETTER,article
432,24,A_LETTER,aid
433,24,A_LETTER,amicable
434,24,A_LETTER,addition
435,24,A_LETTER,artistic
436,24,A_LETTER,aesthetic
437,25,A_LETTER,Apple
438,25,A_LETTER,acorn
439,25,A_LETTER,all
440,25,A_LETTER,abundance
441,25,A_LETTER,anussance
442,25,A_LETTER,astrology
443,25,A_LETTER,astronomy
444,25,A_LETTER,apartment
445,25,A_LETTER,adult
446,25,A_LETTER,admire
447,25,A_LETTER,amicable
448,26,A_LETTER,Art
449,26,A_LETTER,arrive
450,26,A_LETTER,arrival
451,26,A_LETTER,artificial
452,26,A_LETTER,afraid
453,26,A_LETTER,antics
454,26,A_LETTER,absolute
455,26,A_LETTER,absolutely
456,26,A_LETTER,astroid
457,26,A_LETTER,astonish
458,26,A_LETTER,astonishing
459,26,A_LETTER,ant
460,26,A_LETTER,ants
461,26,A_LETTER,apple
462,26,A_LETTER,able
463,26,A_LETTER,appliance
464,26,A_LETTER,application
465,26,A_LETTER,artisan
466,26,A_LETTER,artistic
467,27,A_LETTER,About
468,27,A_LETTER,above
469,27,A_LETTER,anal
470,27,A_LETTER,amazing
471,27,A_LETTER,after
472,27,A_LETTER,all
473,27,A_LETTER,altogether
474,27,A_LETTER,america
475,27,A_LETTER,association
